Index,Stage(ft_NCDD),Stage(ft_NAVD88),Storage(ac-ft),Storage(Mgal),Area(ac)
934,503.11,506.8,1217.059945,396.5807259,46.18250208
935,503.01,506.7,1212.446658,395.0774795,46.08316627
936,502.91,506.6,1207.843563,393.5775546,45.98111232
937,502.81,506.5,1203.250748,392.0809792,45.87559891
938,502.71,506.4,1198.668388,390.5878106,45.77379206
939,502.61,506.3,1194.096119,389.0979302,45.67322074
940,502.51,506.2,1189.534326,387.6114634,45.56202394
941,502.41,506.1,1184.983263,386.1284931,45.4612055
942,502.31,506,1180.442177,384.6487735,45.35717472
943,502.21,505.9,1175.911321,383.1723876,45.2632752
944,502.11,505.8,1171.390015,381.6991136,45.15998573
945,502.01,505.7,1166.879245,380.2292727,45.04878893
946,501.91,505.6,1162.380465,378.763339,44.9294377
947,501.81,505.5,1157.893384,377.3012173,44.81725248
948,501.71,505.4,1153.416924,375.8425563,44.70951514
949,501.61,505.3,1148.950983,374.3873231,44.60375462
950,501.51,505.2,1144.49613,372.9357028,44.49379334
951,501.41,505.1,1140.050542,371.4871016,44.41027219
952,501.31,505,1135.614152,370.0414975,44.31563136
953,501.21,504.9,1131.187754,368.5991495,44.21654266
954,501.11,504.8,1126.771088,367.1599723,44.11745395
955,501.01,504.7,1122.363775,365.7238432,44.02330733
956,500.91,504.6,1117.96628,364.2909132,43.9289136
957,500.81,504.5,1113.578224,362.8610588,43.83204883
958,500.71,504.4,1109.200014,361.434413,43.72999488
959,500.61,504.3,1104.831767,360.0110133,43.63584826
960,500.51,504.2,1100.472535,358.5905512,43.55109158
961,500.41,504.1,1096.121228,357.1726717,43.4717712
962,500.31,504,1091.778191,355.757487,43.38948557
963,500.21,503.9,1087.443855,354.3451373,43.29657446
964,500.11,503.8,1083.118066,352.9355728,43.22170195
965,500.01,503.7,1078.800321,351.5286294,43.12977926
966,499.91,503.6,1074.4914,350.1245611,43.04897626
967,499.81,503.5,1070.190614,348.7231439,42.96397248
968,499.71,503.4,1065.898264,347.3244755,42.88292237
969,499.61,503.3,1061.613858,345.9283959,42.80236646
970,499.51,503.2,1057.337847,344.5350514,42.71958662
971,499.41,503.1,1053.07001,343.1443708,42.63433574
972,499.31,503,1048.810954,341.7565513,42.54735514
973,499.21,502.9,1044.560683,340.3715942,42.4583977
974,499.11,502.8,1040.318937,338.9894153,42.3721584
975,499.01,502.7,1036.085919,337.6100803,42.28888435
976,498.91,502.6,1031.861244,336.2334638,42.20190374
977,498.81,502.5,1027.645329,334.8597019,42.11541734
978,498.71,502.4,1023.438169,333.4887929,42.02250624
979,498.61,502.3,1019.240258,332.1208974,41.93651405
980,498.51,502.2,1015.050912,330.7557932,41.84755661
981,498.41,502.1,1010.870018,329.3934429,41.76551808
982,498.31,502,1006.697844,328.0339338,41.6802672
983,498.21,501.9,1002.534016,326.6771446,41.6002055
984,498.11,501.8,998.3785873,325.3230922,41.50680019
985,498.01,501.7,994.2319221,323.9718954,41.42624429
986,497.91,501.6,990.0936727,322.6234409,41.33654554
987,497.81,501.5,985.9643892,321.277908,41.24536416
988,497.71,501.4,981.8443105,319.9353745,41.15442989
989,497.61,501.3,977.7338397,318.5959717,41.05410566
990,497.51,501.2,973.6336207,317.2599094,40.94908646
991,497.41,501.1,969.5432984,315.9270721,40.85592826
992,497.31,501,965.4625627,314.5973585,40.75782797
993,497.21,500.9,961.3915458,313.2708118,40.66491686
994,497.11,500.8,957.3293766,311.9471482,40.57719494
995,497.01,500.7,953.2757325,310.6262624,40.49540352
996,496.91,500.6,949.2299216,309.3079292,40.42102522
997,496.81,500.5,945.1918765,307.9921264,40.33799827
998,496.71,500.4,941.1622544,306.6790682,40.25175898
999,496.61,500.3,937.14111,305.3687726,40.17169728
1000,496.51,500.2,933.1282786,304.0611857,40.08595219
1001,496.41,500.1,929.1231922,302.7561226,40.01058547
1002,496.31,500,925.1258577,301.4535854,39.93398323
1003,496.21,499.9,921.1369174,300.1537835,39.84626131
1004,496.11,499.8,917.1566422,298.8568051,39.76026912
1005,496.01,499.7,913.1852966,297.5627365,39.6661225
1006,495.91,499.6,909.2232529,296.2716989,39.56876352
1007,495.81,499.5,905.2705677,294.9837107,39.48301843
1008,495.71,499.4,901.3263071,293.6984678,39.4004857
1009,495.61,499.3,897.3904823,292.4159736,39.31820006
1010,495.51,499.2,893.4630987,291.1362301,39.23047814
1011,495.41,499.1,889.5447165,289.8594196,39.13262496
1012,495.31,499,885.6355679,288.5856179,39.04638566
1013,495.21,498.9,881.7356322,287.3148183,38.95668691
1014,495.11,498.8,877.8439484,286.0467076,38.87835494
1015,495.01,498.7,873.9603803,284.7812413,38.79458669
1016,494.91,498.6,870.0851626,283.5184961,38.71131264
1017,494.81,498.5,866.2181427,282.2584221,38.62754438
1018,494.71,498.4,862.3595632,281.0010985,38.54723558
1019,494.61,498.3,858.5091415,279.746433,38.46297312
1020,494.51,498.2,854.6669678,278.4944552,38.38241722
1021,494.41,498.1,850.8332899,277.2452458,38.29271846
1022,494.31,498,847.00782,275.998711,38.21413939
1023,494.21,497.9,843.1911085,274.75503,38.12048698
1024,494.11,497.8,839.3828715,273.5141106,38.0416608
1025,494.01,497.7,835.5827354,272.2758308,37.96258752
1026,493.91,497.6,831.7910972,271.0403201,37.86646406
1027,493.81,497.5,828.0086197,269.8077944,37.78146029
1028,493.71,497.4,824.234988,268.5781511,37.69497389
1029,493.61,497.3,820.4697537,267.3512441,37.6089817
1030,493.51,497.2,816.7136892,266.1273251,37.51137562
1031,493.41,497.1,812.9676759,264.9066813,37.41278112
1032,493.31,497,809.2306002,263.6889498,37.3312368
1033,493.21,496.9,805.501795,262.4739133,37.2388199
1034,493.11,496.8,801.783042,261.2621523,37.1394841
1035,493.01,496.7,798.0739073,260.0535255,37.04657299
1036,492.91,496.6,794.3739927,258.847903,36.9484727
1037,492.81,496.5,790.6838532,257.6454657,36.85704422
1038,492.71,496.4,787.0034895,256.446214,36.75326054
1039,492.61,496.3,783.3328253,255.2501228,36.65664288
1040,492.51,496.2,779.6725448,254.0574151,36.54890554
1041,492.41,496.1,776.0225308,252.8680528,36.44981683
1042,492.31,496,772.3826039,251.6819774,36.3489984
1043,492.21,495.9,768.7521869,250.4990009,36.25559309
1044,492.11,495.8,765.1318165,249.319298,36.15378624
1045,492.01,495.7,761.5210038,248.1427095,36.06136934
1046,491.91,495.6,757.9192408,246.9690699,35.96994086
1047,491.81,495.5,754.3269889,245.7985294,35.87455872
1048,491.71,495.4,750.7438508,244.6309588,35.78189472
1049,491.61,495.3,747.1706588,243.466629,35.67934656
1050,491.51,495.2,743.6093936,242.3061857,35.5459104
1051,491.41,495.1,740.0605974,241.1498053,35.42581786
1052,491.31,495,736.5240613,239.99742,35.30770214
1053,491.21,494.9,732.9994034,238.8489052,35.19230458
1054,491.11,494.8,729.4855742,237.7039189,35.08629696
1055,491.01,494.7,725.9821987,236.562339,34.98547853
1056,490.91,494.6,722.4884442,235.4238941,34.89232032
1057,490.81,494.5,719.0038438,234.288432,34.80064474
1058,490.71,494.4,715.528671,233.156042,34.70402707
1059,490.61,494.3,712.0626288,232.0266272,34.61630515
1060,490.51,494.2,708.6055984,230.9001489,34.52240563
1061,490.41,494.1,705.1581984,229.7768087,34.42677638
1062,490.31,494,701.7203123,228.6565685,34.32941741
1063,490.21,493.9,698.2914179,227.5392584,34.24713178
1064,490.11,493.8,694.8704961,226.4245461,34.17028243
1065,490.01,493.7,691.457544,225.3124308,34.09343309
1066,489.91,493.6,688.0519665,224.2027185,34.01559533
1067,489.81,493.5,684.6539287,223.095463,33.9456649
1068,489.71,493.4,681.2629045,221.9904929,33.87449894
1069,489.61,493.3,677.8789515,220.887827,33.80209747
1070,489.51,493.2,674.5022603,219.7875273,33.729696
1071,489.41,493.1,671.1327495,218.6895674,33.66223661
1072,489.31,493,667.7697515,217.5937297,33.59625984
1073,489.21,492.9,664.4132739,216.5000167,33.52929466
1074,489.11,492.8,661.0640745,215.4086753,33.4519511
1075,489.01,492.7,657.7222994,214.319753,33.38004384
1076,488.91,492.6,654.3873817,213.2330653,33.31283155
1077,488.81,492.5,651.0598229,212.1487755,33.23993587
1078,488.71,492.4,647.739466,211.0668325,33.16901702
1079,488.61,492.3,644.4264897,209.9872944,33.08771981
1080,488.51,492.2,641.1214074,208.9103286,33.01408282
1081,488.41,492.1,637.8240231,207.8358712,32.93155008
1082,488.31,492,634.5343667,206.763932,32.86161965
1083,488.21,491.9,631.2521981,205.6944326,32.78229926
1084,488.11,491.8,627.9781642,204.627584,32.69976653
1085,488.01,491.7,624.7121193,203.5633386,32.61995194
1086,487.91,491.6,621.4541695,202.501731,32.53544237
1087,487.81,491.5,618.2046024,201.4428549,32.45661619
1088,487.71,491.4,614.9634365,200.3867163,32.36864717
1089,487.61,491.3,611.7310034,199.3334234,32.28586733
1090,487.51,491.2,608.5069362,198.2828565,32.19419174
1091,487.41,491.1,605.291412,197.2350733,32.11165901
1092,487.31,491,602.0847059,196.1901635,32.02121894
1093,487.21,490.9,598.8867381,195.1481012,31.93399123
1094,487.11,490.8,595.6982855,194.1091393,31.8393504
1095,487.01,490.7,592.5186442,193.0730486,31.75434662
1096,486.91,490.6,589.3472486,192.0396448,31.6784857
1097,486.81,490.5,586.1829398,191.0085503,31.60682554
1098,486.71,490.4,583.0257884,189.979788,31.53195302
1099,486.61,490.3,579.8769128,188.9537224,31.44769056
1100,486.51,490.2,576.7359563,187.9302372,31.37182963
1101,486.41,490.1,573.6026286,186.9092379,31.29300346
1102,486.31,490,570.4768983,185.8907142,31.21911936
1103,486.21,489.9,567.3588151,184.8746823,31.13930477
1104,486.11,489.8,564.2487233,183.8612544,31.06640909
1105,486.01,489.7,561.1465932,182.8504209,30.97646323
1106,485.91,489.6,558.052357,181.8421596,30.90702701
1107,485.81,489.5,554.9660272,180.8364746,30.81930509
1108,485.71,489.4,551.8878549,179.8334478,30.74665651
1109,485.61,489.3,548.8175362,178.83298,30.65819328
1110,485.51,489.2,545.7558989,177.8353411,30.57689606
1111,485.41,489.1,542.7021992,176.8402887,30.49559885
1112,485.31,489,539.6572693,175.8480939,30.40762982
1113,485.21,488.9,536.6205596,174.8585777,30.32534419
1114,485.11,488.8,533.592277,173.8718075,30.23811648
1115,485.01,488.7,530.5729188,172.8879453,30.14569958
1116,484.91,488.6,527.5629732,171.9071502,30.05081165
1117,484.81,488.5,524.5623298,170.9293863,29.95765344
1118,484.71,488.4,521.5712133,169.9547267,29.86152998
1119,484.61,488.3,518.5899697,168.9832842,29.76120576
1120,484.51,488.2,515.6196315,168.0153952,29.6401248
1121,484.41,488.1,512.6619968,167.0516457,29.51261914
1122,484.31,488,509.7165514,166.0918681,29.40117523
1123,484.21,487.9,506.7816123,165.135514,29.29220237
1124,484.11,487.8,503.8571123,164.1825615,29.19682022
1125,484.01,487.7,500.9423673,163.2327877,29.10119098
1126,483.91,487.6,498.0367223,162.2859791,29.01173933
1127,483.81,487.5,495.1399914,161.3420752,28.92673555
1128,483.71,487.4,492.251618,160.4008946,28.8429673
1129,483.61,487.3,489.3713285,159.4623481,28.76364691
1130,483.51,487.2,486.4997918,158.5266538,28.66554662
1131,483.41,487.1,483.6370474,157.5938244,28.58548493
1132,483.31,487,480.7830658,156.6638504,28.49380934
1133,483.21,486.9,477.9383096,155.7368825,28.40262797
1134,483.11,486.8,475.1025299,154.8128397,28.31144659
1135,483.01,486.7,472.2765707,153.8919968,28.2066745
1136,482.91,486.6,469.4608802,152.9745,28.10017267
1137,482.81,486.5,466.6558201,152.0604672,28.00553184
1138,482.71,486.4,463.8597456,151.1493623,27.91805702
1139,482.61,486.3,461.0721394,150.2410168,27.83428877
1140,482.51,486.2,458.2925764,149.3352922,27.75694522
1141,482.41,486.1,455.5206796,148.4320657,27.67836614
1142,482.31,486,452.75695,147.5315005,27.59756314
1143,482.21,485.9,450.0005619,146.6333275,27.5273856
1144,482.11,485.8,447.2515207,145.7375484,27.45177178
1145,482.01,485.7,444.5098443,144.8441693,27.38134714
1146,481.91,485.6,441.7754251,143.9531548,27.3047449
1147,481.81,485.5,439.0490896,143.0647745,27.21924691
1148,481.71,485.4,436.3315671,142.1792659,27.1322663
1149,481.61,485.3,433.6226475,141.2965606,27.04330886
1150,481.51,485.2,430.9224319,140.4166915,26.95608115
1151,481.41,485.1,428.2307855,139.5396146,26.88022022
1152,481.31,485,425.5467183,138.6650075,26.79991142
1153,481.21,484.9,422.8710015,137.7931213,26.72059104
1154,481.11,484.8,420.202976,136.9237414,26.64077645
1155,481.01,484.7,417.5431856,136.0570449,26.5515719
