,inf_option,desal_mgd,plan_date,deploy_date,payback_date,ramp_down_date,capex_cost,opex_cost_annual
0,DESALT_4MGD,0,2058-10-01 00:00:00,2068-10-01 00:00:00,2088-10-01 00:00:00,2098-10-01 00:00:00,212445600,9953160
1,DPR,0,2059-10-01 00:00:00,2064-10-01 00:00:00,2089-10-01 00:00:00,2094-10-01 00:00:00,144697200,3763800
